domain,module,status,completion_percent,evidence,tests,risks,next_action
Architecture,Build de production (astro build),TERMINÉ ET VALIDÉ,100,CMD-008: exit 0, 13 pages générées,Aucun test automatisé dédié; validation par exécution directe,Aucun,Ajouter un job CI qui exécute ce build sur chaque push
Architecture,Typecheck (astro check),TERMINÉ ET VALIDÉ,100,CMD-007: 0 erreurs 0 warnings 41 hints cosmétiques,Aucun test dédié; validation par exécution directe,Aucun,RAS
Architecture,i18n routing FR/EN,TERMINÉ ET VALIDÉ,100,CMD-009: 12/12 routes 200 avec lang correct; astro.config.mjs i18n.routing vérifié,Playwright ad hoc (CMD-009),Aucun,RAS
Architecture,Content collections (schema Zod),TERMINÉ ET VALIDÉ,100,src/content.config.ts inspecté; 10 caseStudies + 2 legacyProjects + 8 experiences chargés sans erreur au build,Validé indirectement par CMD-007/CMD-008,Aucun,RAS
Architecture,CI/CD,ABSENT,0,Aucun dossier .github/ dans l'inventaire (CMD-004),Aucun,Aucune vérification automatique avant merge,Créer un workflow build+typecheck minimal
UI/UX,Design system (tokens CSS),IMPLÉMENTÉ MAIS NON VALIDÉ,80,src/styles/global.css inspecté: palette clair/sombre/spacing/typo cohérents,Aucun test visuel automatisé,Contraste WCAG AA en échec (CMD-013),Corriger les tokens --color-accent (clair) et --color-text-faint (sombre)
UI/UX,Thème clair/sombre,TERMINÉ ET VALIDÉ,90,Toggle fonctionnel observé; script inline anti-FOUC dans BaseLayout.astro,CMD-013 confirme le rendu des deux thèmes,Contraste (voir ci-dessus),RAS hors contraste
UI/UX,Menu hamburger accessible,TERMINÉ ET VALIDÉ,100,CMD-011: aria-expanded bascule + fermeture Escape,Playwright ad hoc (CMD-011),Aucun,RAS
UI/UX,Cohérence FR/EN des composants,TERMINÉ ET VALIDÉ,100,Un seul jeu de composants partagés (views/*) paramétré par locale; aucune duplication de template détectée,Inspection manuelle du code,Aucun,RAS
Responsive,Absence de débordement horizontal,TERMINÉ ET VALIDÉ,100,CMD-010: 15/15 combinaisons page x largeur sans overflow (360 à 1440px),Playwright ad hoc (CMD-010),Aucun,RAS
Responsive,Cibles tactiles / lisibilité mobile,IMPLÉMENTÉ MAIS NON VALIDÉ,70,Captures visuelles antérieures (hors ce lot) suggèrent une mise en page correcte,Aucun test automatisé de taille de cible,Non quantifié dans ce lot,Auditer les tailles de zones cliquables avec un outil dédié
Contenu professionnel,Bio / à propos,TERMINÉ ET VALIDÉ,90,src/i18n/content/about.ts inspecté; affirmations rattachées à des projets identifiables,Lecture directe du contenu,Aucun,RAS
Contenu professionnel,Page Compétences,TERMINÉ ET VALIDÉ,90,src/i18n/content/skills.ts inspecté; 4 catégories cohérentes FR/EN,Lecture directe,Aucun,RAS
Contenu professionnel,Page Expériences,TERMINÉ ET VALIDÉ,90,8 fichiers (4 FR + 4 EN) content/experiences vérifiés cohérents,Lecture directe,Aucun,RAS
Contenu professionnel,Lien GitHub Cosmechic,BLOQUÉ,0,"WebFetch github.com/Pablo5Berriz/Cosmechic = HTTP 404; vrai dépôt public = cosmechic- (avec tiret final), stack réelle Next.js/Stripe/Tailwind vs HTML/ASP.NET/SQL Server annoncé",Vérification HTTP réelle non destructive,CRITIQUE - lien mort visible publiquement + affirmation de stack incorrecte,Corriger l'URL et la stack dans legacyProjects/{fr,en}/cosmechic.md - nécessite validation PM (hors périmètre de ce lot)
Contenu professionnel,githubUrl obsolètes (4 projets),PARTIEL,50,"WebFetch confirme des dépôts publics réels existants sous garage-auto-gonzague, logigest, bilik-farm, comptaclems alors que le contenu du site indique githubUrl: null pour ces 4 études de cas",Vérification HTTP réelle non destructive,ÉLEVÉ - sous-représentation de projets réels,Décision PM: mettre à jour les 4 fichiers concernés avec les vraies URLs
Contenu professionnel,Projets non représentés (BikeTrip / Infotech Solutions / workflow-ai-agents / mediahub),ABSENT,0,"4 dépôts publics réels vérifiés (biketrip, infotechs-solutions, workflow-ai-agents, mediahub) sans aucune étude de cas correspondante dans src/content/caseStudies",Vérification HTTP réelle non destructive,MOYEN - contenu incomplet par rapport à la réalité GitHub,Décision PM: créer ou non ces études de cas
Études de cas,Paroisse Hub,IMPLÉMENTÉ MAIS NON VALIDÉ,60,caseStudies/{fr,en}/paroisse-hub.md complet (stack/features/status réels fournis),Aucun test; contenu déclaratif non vérifié en exécution,imagePlaceholder true - aucune capture,Fournir une capture d'écran
Études de cas,EduQuiz,IMPLÉMENTÉ MAIS NON VALIDÉ,70,githubUrl réel vérifié (CMD via WebFetch); contenu complet,Vérification HTTP du lien uniquement,imagePlaceholder true,Fournir une capture d'écran
Études de cas,Cv Expert,IMPLÉMENTÉ MAIS NON VALIDÉ,60,Stack/features détaillés fournis par le PM/utilisateur; aucun lien externe,Aucun test,imagePlaceholder true; aucun lien de vérification externe disponible,Fournir capture et/ou lien
Études de cas,Garage Auto Gonzague,IMPLÉMENTÉ MAIS NON VALIDÉ,75,Image réelle intégrée (imagePlaceholder:false); contenu complet,Aucun test,githubUrl null alors qu'un dépôt public réel existe (voir ligne dédiée ci-dessus),Décision PM sur mise à jour du lien
Études de cas,SLG Tech,TERMINÉ ET VALIDÉ,90,githubUrl réel vérifié + image réelle intégrée,Vérification HTTP du lien,Aucun,RAS
Études de cas,Logigest,IMPLÉMENTÉ MAIS NON VALIDÉ,55,Contenu complet; imagePlaceholder true,Aucun test,githubUrl null alors qu'un dépôt public réel existe,Décision PM sur mise à jour du lien + capture
Études de cas,Bilik Farm,IMPLÉMENTÉ MAIS NON VALIDÉ,70,Image réelle intégrée; contenu complet,Aucun test,githubUrl null alors qu'un dépôt public réel existe,Décision PM sur mise à jour du lien
Études de cas,ComptaClems,IMPLÉMENTÉ MAIS NON VALIDÉ,70,Image réelle intégrée; contenu complet,Aucun test,githubUrl null alors qu'un dépôt public réel existe,Décision PM sur mise à jour du lien
Études de cas,Forum Sportif,TERMINÉ ET VALIDÉ,85,githubUrl réel vérifié,Vérification HTTP du lien,imagePlaceholder true,Fournir une capture d'écran
Études de cas,Proxmox (serveur auto-hébergé),IMPLÉMENTÉ MAIS NON VALIDÉ,55,Contenu complet; aucune preuve externe vérifiable (infra personnelle non publique),Aucun test,imagePlaceholder true,Fournir une capture d'écran si souhaité
Études de cas,Cosmechic (projet antérieur),BLOQUÉ,0,Voir ligne dédiée ci-dessus (lien mort + stack incorrecte),Vérification HTTP réelle,CRITIQUE,Correction requise avant toute communication publique du lien
Études de cas,WeatherWise (projet antérieur),TERMINÉ ET VALIDÉ,90,githubUrl réel vérifié + image réelle intégrée,Vérification HTTP du lien,Aucun,RAS
SEO,Meta title/description par page et langue,TERMINÉ ET VALIDÉ,100,BaseLayout.astro génère title/description uniques par page x langue; vérifié dans les 12 titres capturés en CMD-009,Playwright ad hoc (CMD-009 - titres),Aucun,RAS
SEO,hreflang / canonical,TERMINÉ ET VALIDÉ,90,Balises présentes dans le HTML buildé (dist/*/index.html inspecté),Inspection du HTML généré,Dépend du domaine placeholder (voir ligne SITE_URL),Corriger après mise à jour SITE_URL
SEO,sitemap.xml / robots.txt,TERMINÉ ET VALIDÉ,100,dist/sitemap-index.xml et dist/robots.txt générés et présents après build (CMD-008),Inspection du build,Aucun,RAS
SEO,Schema.org JSON-LD,TERMINÉ ET VALIDÉ,90,set:html JSON-LD Person/ProfilePage confirmé dans BaseLayout.astro,Inspection du code,Aucun,RAS
SEO,SITE_URL de production,PARTIEL,0,astro.config.mjs ligne 8: placeholder https://paulquentinondoa.dev avec commentaire TODO explicite,Inspection directe du fichier,MOYEN - casse canonical/hreflang/OG en production réelle,Remplacer par le domaine réel avant déploiement
SEO,Page 404 personnalisée,ABSENT,0,Aucun fichier src/pages/404.astro dans l'inventaire (CMD-004),Aucun,FAIBLE - page d'erreur générique non brandée,Créer src/pages/404.astro si souhaité
Accessibilité,Structure sémantique (landmarks/headings),TERMINÉ ET VALIDÉ,100,axe-core (CMD-013): 0 violation hors color-contrast; 1 seul h1 par page (CMD-009),axe-core wcag2a/2aa/21aa/22aa,Aucun,RAS
Accessibilité,Navigation clavier / focus,TERMINÉ ET VALIDÉ,90,:focus-visible défini dans global.css; hamburger clavier-accessible (CMD-011),axe-core + Playwright,Non testé exhaustivement sur tous les composants interactifs,Étendre les tests clavier aux filtres de projets et au formulaire
Accessibilité,Contraste couleur WCAG AA,BLOQUÉ,40,"axe-core CMD-013: violation 'serious' confirmée thème clair (3.21:1 et 3.41:1, attendu 4.5:1) ET thème sombre (4.01:1, attendu 4.5:1)",axe-core (preuve reproductible),ÉLEVÉ - non-conformité WCAG 2.2 AA affichée comme cible du projet,Ajuster --color-accent (clair) et --color-text-faint (sombre) dans global.css
